"MPIO_CDPMP","REGION","Card_6t9","elsnl_6t9","elsnmr_6t9","clrgst_6t9","clrgwk_6t9","FID_6t9"
"15762","Región Centro Oriente","East",0.125,0,0.111,0.3,737
"15763","Región Centro Oriente","East",0.125,0,0.111,0.3,738
"15764","Región Centro Oriente","East",0.125,0,0.111,0.3,739
"15774","Región Centro Oriente","East",0.125,0,0.111,0.3,740
"15776","Región Centro Oriente","East",0.125,0,0.111,0.3,741
"15778","Región Centro Oriente","East",0.125,0,0.111,0.3,742
"15790","Región Centro Oriente","East",0.125,0,0.111,0.3,743
"15798","Región Centro Oriente","East",0.125,0,0.111,0.3,744
"15804","Región Centro Oriente","East",0.125,0,0.111,0.3,745
"15806","Región Centro Oriente","East",0.125,0,0.111,0.3,746
"15808","Región Centro Oriente","East",0.125,0,0.111,0.3,747
"15810","Región Centro Oriente","East",0.125,0,0.111,0.3,748
"15814","Región Centro Oriente","East",0.125,0,0.111,0.3,749
"15816","Región Centro Oriente","East",0.125,0,0.111,0.3,750
"15820","Región Centro Oriente","East",0.125,0,0.111,0.3,751
"15822","Región Centro Oriente","East",0.125,0,0.111,0.3,752
"15832","Región Centro Oriente","East",0.125,0,0.111,0.3,753
"15835","Región Centro Oriente","East",0.125,0,0.111,0.3,754
"15837","Región Centro Oriente","East",0.125,0,0.111,0.3,755
"15839","Región Centro Oriente","East",0.125,0,0.111,0.3,756
"15842","Región Centro Oriente","East",0.125,0,0.111,0.3,673
"15861","Región Centro Oriente","East",0.125,0,0.111,0.3,674
"15879","Región Centro Oriente","East",0.125,0,0.111,0.3,675
"15897","Región Centro Oriente","East",0.125,0,0.111,0.3,676
"17001","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,229
"17013","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,230
"17042","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,242
"17050","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,241
"17088","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,240
"17174","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,239
"17272","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,238
"17380","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,237
"17388","Región Eje Cafetero - Antioquia","North",0.25,0.222,0.333,0.1,236
