MPIO_CDPMP,elsnlfc,elsnmrfc,clrgstch,clrgwkch
20238,0.25,0.222,0.333,0.1
20250,0.25,0.222,0.333,0.1
20295,0.25,0.222,0.333,0.1
20310,0.25,0.222,0.333,0.1
20383,0.25,0.222,0.333,0.1
20400,0.25,0.222,0.333,0.1
20443,0.25,0.222,0.333,0.1
20517,0.25,0.222,0.333,0.1
20550,0.25,0.222,0.333,0.1
20614,0.25,0.222,0.333,0.1
20710,0.25,0.222,0.333,0.1
20750,0.25,0.222,0.333,0.1
20787,0.25,0.222,0.333,0.1
20001,0.25,0.222,0.333,0.1
20013,0.25,0.222,0.333,0.1
20045,0.25,0.222,0.333,0.1
20621,0.25,0.222,0.333,0.1
20570,0.25,0.222,0.333,0.1
20770,0.25,0.222,0.333,0.1
20011,0.25,0.222,0.333,0.1
44078,0.25,0.222,0.333,0.1
44098,0.25,0.222,0.333,0.1
44110,0.25,0.222,0.333,0.1
44279,0.25,0.222,0.333,0.1
44378,0.25,0.222,0.333,0.1
44420,0.25,0.222,0.333,0.1
44855,0.25,0.222,0.333,0.1
44874,0.25,0.222,0.333,0.1
44001,0.25,0.222,0.333,0.1
44035,0.25,0.222,0.333,0.1
44090,0.25,0.222,0.333,0.1
44650,0.25,0.222,0.333,0.1
44847,0.25,0.222,0.333,0.1
44430,0.25,0.222,0.333,0.1
44560,0.25,0.222,0.333,0.1
47541,0.25,0.222,0.333,0.1
47030,0.25,0.222,0.333,0.1
47058,0.25,0.222,0.333,0.1
47161,0.25,0.222,0.333,0.1
47170,0.25,0.222,0.333,0.1
47205,0.25,0.222,0.333,0.1
47258,0.25,0.222,0.333,0.1
47268,0.25,0.222,0.333,0.1
47318,0.25,0.222,0.333,0.1
47460,0.25,0.222,0.333,0.1
47545,0.25,0.222,0.333,0.1
47551,0.25,0.222,0.333,0.1
47555,0.25,0.222,0.333,0.1
47570,0.25,0.222,0.333,0.1
47605,0.25,0.222,0.333,0.1
47660,0.25,0.222,0.333,0.1
47675,0.25,0.222,0.333,0.1
47692,0.25,0.222,0.333,0.1
47703,0.25,0.222,0.333,0.1
47707,0.25,0.222,0.333,0.1
47720,0.25,0.222,0.333,0.1
47745,0.25,0.222,0.333,0.1
47798,0.25,0.222,0.333,0.1
47960,0.25,0.222,0.333,0.1
47980,0.25,0.222,0.333,0.1
47053,0.25,0.222,0.333,0.1
47189,0.25,0.222,0.333,0.1
47288,0.25,0.222,0.333,0.1
47001,0.25,0.222,0.333,0.1
47245,0.25,0.222,0.333,0.1
70001,0.25,0.222,0.333,0.1
70110,0.25,0.222,0.333,0.1
70124,0.25,0.222,0.333,0.1
70204,0.25,0.222,0.333,0.1
70215,0.25,0.222,0.333,0.1
70221,0.25,0.222,0.333,0.1
70230,0.25,0.222,0.333,0.1
70233,0.25,0.222,0.333,0.1
70235,0.25,0.222,0.333,0.1
70265,0.25,0.222,0.333,0.1
70400,0.25,0.222,0.333,0.1
70418,0.25,0.222,0.333,0.1
70429,0.25,0.222,0.333,0.1
70508,0.25,0.222,0.333,0.1
70523,0.25,0.222,0.333,0.1
70670,0.25,0.222,0.333,0.1
70678,0.25,0.222,0.333,0.1
70702,0.25,0.222,0.333,0.1
70708,0.25,0.222,0.333,0.1
70713,0.25,0.222,0.333,0.1
70717,0.25,0.222,0.333,0.1
70742,0.25,0.222,0.333,0.1
70771,0.25,0.222,0.333,0.1
70820,0.25,0.222,0.333,0.1
70823,0.25,0.222,0.333,0.1
70473,0.25,0.222,0.333,0.1
88001,0.25,0.222,0.333,0.1
88564,0.25,0.222,0.333,0.1
81001,0.125,0,0.111,0.3
81591,0.125,0,0.111,0.3
81220,0.125,0,0.111,0.3
81065,0.125,0,0.111,0.3
81300,0.125,0,0.111,0.3
81736,0.125,0,0.111,0.3
81794,0.125,0,0.111,0.3
15001,0.125,0,0.111,0.3
15022,0.125,0,0.111,0.3
15047,0.125,0,0.111,0.3
15051,0.125,0,0.111,0.3
15087,0.125,0,0.111,0.3
15090,0.125,0,0.111,0.3
15092,0.125,0,0.111,0.3
15097,0.125,0,0.111,0.3
15104,0.125,0,0.111,0.3
15106,0.125,0,0.111,0.3
15109,0.125,0,0.111,0.3
15114,0.125,0,0.111,0.3
15131,0.125,0,0.111,0.3
15135,0.125,0,0.111,0.3
15162,0.125,0,0.111,0.3
15172,0.125,0,0.111,0.3
15176,0.125,0,0.111,0.3
15183,0.125,0,0.111,0.3
15185,0.125,0,0.111,0.3
15187,0.125,0,0.111,0.3
15189,0.125,0,0.111,0.3
15204,0.125,0,0.111,0.3
15212,0.125,0,0.111,0.3
15215,0.125,0,0.111,0.3
15377,0.125,0,0.111,0.3
15380,0.125,0,0.111,0.3
15401,0.125,0,0.111,0.3
15403,0.125,0,0.111,0.3
15542,0.125,0,0.111,0.3
15550,0.125,0,0.111,0.3
15572,0.125,0,0.111,0.3
15580,0.125,0,0.111,0.3
15755,0.125,0,0.111,0.3
15757,0.125,0,0.111,0.3
15759,0.125,0,0.111,0.3
15761,0.125,0,0.111,0.3
15842,0.125,0,0.111,0.3
15861,0.125,0,0.111,0.3
15879,0.125,0,0.111,0.3
15897,0.125,0,0.111,0.3
15218,0.125,0,0.111,0.3
15224,0.125,0,0.111,0.3
15226,0.125,0,0.111,0.3
15232,0.125,0,0.111,0.3
15236,0.125,0,0.111,0.3
15238,0.125,0,0.111,0.3
15244,0.125,0,0.111,0.3
15248,0.125,0,0.111,0.3
15272,0.125,0,0.111,0.3
15276,0.125,0,0.111,0.3
15293,0.125,0,0.111,0.3
15296,0.125,0,0.111,0.3
15299,0.125,0,0.111,0.3
15317,0.125,0,0.111,0.3
15322,0.125,0,0.111,0.3
15325,0.125,0,0.111,0.3
15362,0.125,0,0.111,0.3
15367,0.125,0,0.111,0.3
15368,0.125,0,0.111,0.3
15407,0.125,0,0.111,0.3
15425,0.125,0,0.111,0.3
15442,0.125,0,0.111,0.3
15455,0.125,0,0.111,0.3
15464,0.125,0,0.111,0.3
15466,0.125,0,0.111,0.3
15469,0.125,0,0.111,0.3
15476,0.125,0,0.111,0.3
15480,0.125,0,0.111,0.3
15491,0.125,0,0.111,0.3
15494,0.125,0,0.111,0.3
15500,0.125,0,0.111,0.3
15507,0.125,0,0.111,0.3
15511,0.125,0,0.111,0.3
15514,0.125,0,0.111,0.3
15516,0.125,0,0.111,0.3
15518,0.125,0,0.111,0.3
15522,0.125,0,0.111,0.3
15531,0.125,0,0.111,0.3
15533,0.125,0,0.111,0.3
15537,0.125,0,0.111,0.3
15599,0.125,0,0.111,0.3
15600,0.125,0,0.111,0.3
15621,0.125,0,0.111,0.3
15632,0.125,0,0.111,0.3
15638,0.125,0,0.111,0.3
15646,0.125,0,0.111,0.3
15660,0.125,0,0.111,0.3
15664,0.125,0,0.111,0.3
15667,0.125,0,0.111,0.3
15673,0.125,0,0.111,0.3
15676,0.125,0,0.111,0.3
15681,0.125,0,0.111,0.3
15686,0.125,0,0.111,0.3
15690,0.125,0,0.111,0.3
15693,0.125,0,0.111,0.3
15696,0.125,0,0.111,0.3
15720,0.125,0,0.111,0.3
15723,0.125,0,0.111,0.3
15740,0.125,0,0.111,0.3
15753,0.125,0,0.111,0.3
15762,0.125,0,0.111,0.3
15763,0.125,0,0.111,0.3
15764,0.125,0,0.111,0.3
15774,0.125,0,0.111,0.3
15776,0.125,0,0.111,0.3
15778,0.125,0,0.111,0.3
15790,0.125,0,0.111,0.3
15798,0.125,0,0.111,0.3
15804,0.125,0,0.111,0.3
15806,0.125,0,0.111,0.3
15808,0.125,0,0.111,0.3
15810,0.125,0,0.111,0.3
15814,0.125,0,0.111,0.3
15816,0.125,0,0.111,0.3
15820,0.125,0,0.111,0.3
15822,0.125,0,0.111,0.3
15832,0.125,0,0.111,0.3
15835,0.125,0,0.111,0.3
15837,0.125,0,0.111,0.3
15839,0.125,0,0.111,0.3
15180,0.125,0,0.111,0.3
15223,0.125,0,0.111,0.3
15332,0.125,0,0.111,0.3
25019,0.125,0,0.111,0.3
25035,0.125,0,0.111,0.3
25040,0.125,0,0.111,0.3
25053,0.125,0,0.111,0.3
25086,0.125,0,0.111,0.3
25095,0.125,0,0.111,0.3
25099,0.125,0,0.111,0.3
25120,0.125,0,0.111,0.3
25123,0.125,0,0.111,0.3
25126,0.125,0,0.111,0.3
25148,0.125,0,0.111,0.3
25151,0.125,0,0.111,0.3
25154,0.125,0,0.111,0.3
