"MPIO_CDPMP","depto","provincia","indrur0t1","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"15051","Boyacá","Ricaurte",0.592179715633392,0.875,0,0,1,640
"15087","Boyacá","Tundama",0.399144500494003,0.125,1,0.889,0,641
"15090","Boyacá","Lengupa",0.745614051818848,0.875,0,0,1,642
"15092","Boyacá","Valderrama",0.833418250083923,0.875,0,0,1,643
"15097","Boyacá","Norte",0.544376373291016,0.875,0,0,1,644
"15104","Boyacá","Marquez",0.850461781024933,0.875,0,0,1,645
"15106","Boyacá","Occidente",0.778434932231903,0.875,0,0,1,646
"15109","Boyacá","Occidente",0.828305721282959,0.875,0,0,1,647
"15114","Boyacá","Tundama",0.613595724105835,0.875,0,0,1,648
"15131","Boyacá","Occidente",0.922048985958099,0.875,0,0,1,649
"15135","Boyacá","Lengupa",0.754245460033417,0.875,0,0,1,650
"15162","Boyacá","Tundama",0.554807424545288,0.875,0,0,1,651
"15172","Boyacá","Neira",0.61639142036438,0.875,0,0,1,652
"15176","Boyacá","Occidente",0.125557497143745,0.125,1,0.889,0,653
"15180","Boyacá","Gutierrez",0.779919862747192,0.875,0,0,1,757
"15183","Boyacá","Valderrama",0.754381597042084,0.875,0,0,1,654
"15185","Boyacá","Ricaurte",0.801372230052948,0.875,0,0,1,655
"15187","Boyacá","Centro",0.831420361995697,0.875,0,0,1,656
"15189","Boyacá","Marquez",0.739590048789978,0.875,0,0,1,657
"15204","Boyacá","Centro",0.900848090648651,0.875,0,0,1,658
"15212","Boyacá","Occidente",0.761812627315521,0.875,0,0,1,659
"15215","Boyacá","Tundama",0.375100076198578,0.125,1,0.889,0,660
"15218","Boyacá","Norte",0.824661433696747,0.875,0,0,1,677
"15223","Boyacá","Gutierrez",0.788545429706573,0.875,0,0,1,758
"15224","Boyacá","Centro",0.608859062194824,0.875,0,0,1,678
"15226","Boyacá","Sugamuxi",0.860400438308716,0.875,0,0,1,679
"15232","Boyacá","Centro",0.929120421409607,0.875,0,0,1,680
"15236","Boyacá","Oriente",0.725292444229126,0.875,0,0,1,681
"15238","Boyacá","Tundama",0.12182691693306,0.125,1,0.889,0,682
"15244","Boyacá","Gutierrez",0.476631075143814,0.125,1,0.889,0,683
"15248","Boyacá","Gutierrez",0.556354105472565,0.875,0,0,1,684
"15272","Boyacá","Sugamuxi",0.625187635421753,0.875,0,0,1,685
"15276","Boyacá","Tundama",0.647274971008301,0.875,0,0,1,686
"15293","Boyacá","Ricaurte",0.800286829471588,0.875,0,0,1,687
"15296","Boyacá","Sugamuxi",0.726391732692719,0.875,0,0,1,688
"15299","Boyacá","Neira",0.310840964317322,0.125,1,0.889,0,689
"15317","Boyacá","Gutierrez",0.665415525436401,0.875,0,0,1,690
"15322","Boyacá","Oriente",0.28675577044487,0.125,1,0.889,0,691
"15325","Boyacá","Oriente",0.671470582485199,0.875,0,0,1,692
"15332","Boyacá","Gutierrez",0.683804631233215,0.875,0,0,1,759
"15362","Boyacá","Sugamuxi",0.404211610555649,0.125,1,0.889,0,693
"15367","Boyacá","Marquez",0.764444470405579,0.875,0,0,1,694
"15368","Boyacá","Valderrama",0.694324254989624,0.875,0,0,1,695
"15377","Boyacá","La libertad",0.680090725421906,0.875,0,0,1,661
"15380","Boyacá","Oriente",0.623651921749115,0.875,0,0,1,662
"15401","Boyacá","Occidente",0.642218232154846,0.875,0,0,1,663
"15403","Boyacá","Norte",0.574191391468048,0.875,0,0,1,664
"15407","Boyacá","Ricaurte",0.510688424110413,0.875,0,0,1,696
"15425","Boyacá","Neira",0.772106111049652,0.875,0,0,1,697
"15442","Boyacá","Occidente",0.867270529270172,0.875,0,0,1,698
"15455","Boyacá","Lengupa",0.404317855834961,0.125,1,0.889,0,699
"15464","Boyacá","Sugamuxi",0.57031923532486,0.875,0,0,1,700
"15466","Boyacá","Sugamuxi",0.4504015147686,0.125,1,0.889,0,701
"15469","Boyacá","Ricaurte",0.488791435956955,0.125,1,0.889,0,702
"15476","Boyacá","Centro",0.866762459278107,0.875,0,0,1,703
"15480","Boyacá","Occidente",0.372804462909698,0.125,1,0.889,0,704
"15491","Boyacá","Sugamuxi",0.685403108596802,0.875,0,0,1,705
"15494","Boyacá","Marquez",0.80609256029129,0.875,0,0,1,706
"15500","Boyacá","Centro",0.858206331729889,0.875,0,0,1,707
"15507","Boyacá","Occidente",0.569842875003815,0.875,0,0,1,708
"15511","Boyacá","Neira",0.78921765089035,0.875,0,0,1,709
"15514","Boyacá","Lengupa",0.587876915931702,0.875,0,0,1,710
"15516","Boyacá","Tundama",0.402981966733932,0.125,1,0.889,0,711
"15518","Boyacá","La libertad",0.59832638502121,0.875,0,0,1,712
"15522","Boyacá","Gutierrez",0.528246939182281,0.875,0,0,1,713
"15531","Boyacá","Occidente",0.711482226848602,0.875,0,0,1,714
"15533","Boyacá","La libertad",0.814500570297241,0.875,0,0,1,715
"15537","Boyacá","Valderrama",0.349358230829239,0.125,1,0.889,0,716
"15542","Boyacá","Sugamuxi",0.672358453273773,0.875,0,0,1,665
"15550","Boyacá","La libertad",0.701077699661255,0.875,0,0,1,666
"15572","Boyacá","Occidente",0.294355541467667,0.125,1,0.889,0,667
"15580","Boyacá","Occidente",0.728778898715973,0.875,0,0,1,668
"15599","Boyacá","Marquez",0.590067744255066,0.875,0,0,1,717
"15600","Boyacá","Ricaurte",0.718547642230988,0.875,0,0,1,718
"15621","Boyacá","Marquez",0.75072705745697,0.875,0,0,1,719
"15632","Boyacá","Occidente",0.928024709224701,0.875,0,0,1,720
"15638","Boyacá","Ricaurte",0.529163599014282,0.875,0,0,1,721
"15646","Boyacá","Centro",0.613345742225647,0.875,0,0,1,722
"15660","Boyacá","Lengupa",0.569664895534515,0.875,0,0,1,723
"15664","Boyacá","Ricaurte",0.803929448127747,0.875,0,0,1,724
"15667","Boyacá","Neira",0.555555582046509,0.875,0,0,1,725
