"MPIO_CDPMP","depto","provincia","indrur0t1","el_0t1x","em_0t1x","cs_0t1x","cw_0t1x","elsnl_0t1","elsnmr_0t1","clrgst_0t1","clrgwk_0t1","FID_0t1"
"68502","Santander","Guanenta",0.705474555492401,0.654105916619301,0.294525444507599,0.261833120167255,0.705474555492401,0.875,0,0,1,1030
"68522","Santander","Comunera",0.656869947910309,0.617652460932732,0.343130052089691,0.305042616307735,0.656869947910309,0.875,0,0,1,1031
"68524","Santander","Comunera",0.692702174186707,0.64452663064003,0.307297825813293,0.273187767148018,0.692702174186707,0.875,0,0,1,1032
"68533","Santander","Guanenta",0.731198966503143,0.673399224877357,0.268801033496857,0.238964118778706,0.731198966503143,0.875,0,0,1,1033
"68547","Santander","Soto",0.183747991919518,0.262810993939638,0.816252008080482,0.725648035183549,0.183747991919518,0.125,1,0.889,0,1060
"68549","Santander","Guanenta",0.792328536510468,0.719246402382851,0.207671463489532,0.184619931042194,0.792328536510468,0.875,0,0,1,1034
"68572","Santander","Vélez",0.628770291805267,0.596577718853951,0.371229708194733,0.330023210585117,0.628770291805267,0.875,0,0,1,1035
"68573","Santander","Vélez",0.659031391143799,0.619273543357849,0.340968608856201,0.303121093273163,0.659031391143799,0.875,0,0,1,1036
"68575","Santander","Mares",0.506724417209625,0.505043312907219,0.493275582790375,0.438521993100643,0.506724417209625,0.875,0,0,1,1037
"68615","Santander","Soto",0.760269284248352,0.695201963186264,0.239730715751648,0.213120606303215,0.760269284248352,0.875,0,0,1,995
"68655","Santander","Mares",0.31895324587822,0.364214934408665,0.68104675412178,0.605450564414263,0.31895324587822,0.125,1,0.889,0,996
"68669","Santander","Garcia rovira",0.640561997890472,0.605421498417854,0.359438002109528,0.31954038387537,0.640561997890472,0.875,0,0,1,997
"68673","Santander","Vélez",0.906101703643799,0.804576277732849,0.0938982963562012,0.0834755854606628,0.906101703643799,0.875,0,0,1,998
"68679","Santander","Guanenta",0.124685473740101,0.218514105305076,0.875314526259899,0.77815461384505,0.124685473740101,0.125,1,0.889,0,999
"68682","Santander","Guanenta",0.634538173675537,0.600903630256653,0.365461826324463,0.324895563602448,0.634538173675537,0.875,0,0,1,1000
"68684","Santander","Garcia rovira",0.796427726745605,0.722320795059204,0.203572273254395,0.180975750923157,0.796427726745605,0.875,0,0,1,1001
"68686","Santander","Garcia rovira",0.751481652259827,0.68861123919487,0.248518347740173,0.220932811141014,0.751481652259827,0.875,0,0,1,1002
"68689","Santander","Mares",0.629131078720093,0.59684830904007,0.370868921279907,0.329702471017838,0.629131078720093,0.875,0,0,1,1003
"68705","Santander","Soto",0.889629304409027,0.79222197830677,0.110370695590973,0.0981195483803749,0.889629304409027,0.875,0,0,1,1004
"68720","Santander","Comunera",0.77338445186615,0.705038338899612,0.22661554813385,0.201461222290993,0.77338445186615,0.875,0,0,1,1005
"68745","Santander","Comunera",0.782413840293884,0.711810380220413,0.217586159706116,0.193434095978737,0.782413840293884,0.875,0,0,1,1006
"68755","Santander","Comunera",0.18427762389183,0.263208217918873,0.81572237610817,0.725177192360163,0.18427762389183,0.125,1,0.889,0,1007
"68770","Santander","Comunera",0.787060141563416,0.715295106172562,0.212939858436584,0.189303534150124,0.787060141563416,0.875,0,0,1,1008
"68773","Santander","Vélez",0.923632323741913,0.817724242806435,0.0763676762580872,0.0678908641934395,0.923632323741913,0.875,0,0,1,1009
"68780","Santander","Soto",0.771320760250092,0.703490570187569,0.228679239749908,0.203295844137669,0.771320760250092,0.875,0,0,1,1010
"68820","Santander","Soto",0.92703104019165,0.820273280143738,0.0729689598083496,0.0648694052696228,0.92703104019165,0.875,0,0,1,1011
"68855","Santander","Guanenta",0.604207754135132,0.578155815601349,0.395792245864868,0.351859306573868,0.604207754135132,0.875,0,0,1,1012
"68861","Santander","Vélez",0.459722459316254,0.46979184448719,0.540277540683746,0.48030673366785,0.459722459316254,0.125,1,0.889,0,1013
"68867","Santander","Soto",0.655156075954437,0.616367056965828,0.344843924045563,0.306566248476505,0.655156075954437,0.875,0,0,1,1014
"68872","Santander","Guanenta",0.420297205448151,0.440222904086113,0.579702794551849,0.515355784356594,0.420297205448151,0.125,1,0.889,0,1015
"68895","Santander","Mares",0.337206840515137,0.377905130386353,0.662793159484863,0.589223118782043,0.337206840515137,0.125,1,0.889,0,1016
"70001","Sucre","Montes de maría",0.102421760559082,0.201816320419312,0.897578239440918,0.797947054862976,0.102421760559082,0.125,1,0.889,0,602
"70110","Sucre","Sabanas",0.203428789973259,0.277571592479944,0.796571210026741,0.708151805713773,0.203428789973259,0.125,1,0.889,0,603
"70124","Sucre","San jorge",0.749130070209503,0.686847552657127,0.250869929790497,0.223023367583752,0.749130070209503,0.875,0,0,1,604
"70204","Sucre","Montes de maría",0.555607080459595,0.541705310344696,0.444392919540405,0.39506530547142,0.555607080459595,0.875,0,0,1,605
"70215","Sucre","Sabanas",0.23747606575489,0.303107049316168,0.76252393424511,0.677883777543902,0.23747606575489,0.125,1,0.889,0,606
"70221","Sucre","Morrosquillo",0.405150681734085,0.428863011300564,0.594849318265915,0.528821043938398,0.405150681734085,0.125,1,0.889,0,607
"70230","Sucre","Montes de maría",0.361173301935196,0.395879976451397,0.638826698064804,0.567916934579611,0.361173301935196,0.125,1,0.889,0,608
"70233","Sucre","Sabanas",0.563555896282196,0.547666922211647,0.436444103717804,0.387998808205128,0.563555896282196,0.875,0,0,1,609
"70235","Sucre","Sabanas",0.454235285520554,0.465676464140415,0.545764714479446,0.485184831172228,0.454235285520554,0.125,1,0.889,0,610
"70265","Sucre","Mojana",0.597922444343567,0.573441833257675,0.402077555656433,0.357446946978569,0.597922444343567,0.875,0,0,1,611
"70400","Sucre","San jorge",0.519475281238556,0.514606460928917,0.480524718761444,0.427186474978924,0.519475281238556,0.875,0,0,1,612
"70418","Sucre","Sabanas",0.513243019580841,0.509932264685631,0.486756980419159,0.432726955592632,0.513243019580841,0.875,0,0,1,613
"70429","Sucre","Mojana",0.721555233001709,0.666166424751282,0.278444766998291,0.247537397861481,0.721555233001709,0.875,0,0,1,614
"70473","Sucre","Montes de maría",0.400371819734573,0.42527886480093,0.599628180265427,0.533069452255964,0.400371819734573,0.125,1,0.889,0,627
